Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C0603",29.100000,3.800000,-90.000000,top
"C3","22uF","C1206",46.500000,5.500000,90.000000,top
"C4","22uF","C1206",49.000000,5.500000,90.000000,top
"C5","10uF","C0603",51.500000,6.000000,90.000000,top
"C6","10uF","C0603",57.500000,6.000000,90.000000,top
"C7","47uF","C1206",60.200000,6.500000,90.000000,top
"C8","100nF","C0603",55.000000,1.000000,0.000000,top
"C9","100nF","C0603",19.000000,8.250000,0.000000,top
"C10","10nF","C0603",23.000000,11.100000,-90.000000,top
"C11","100nF","C0603",22.600000,3.800000,-90.000000,top
"F1","1A","R0603",29.000000,13.600000,0.000000,top
"GND0","PTR1B1,27","B1,27",43.000000,9.000000,0.000000,top
"JP1","","JP5",6.500000,2.500000,180.000000,top
"L1","1.5uH","1212",54.500000,9.400000,0.000000,top
"Q1","MMBT3906LT1SMD","SOT23-BEC",26.600000,11.200000,-90.000000,top
"Q2","2N7002","SOT23",35.600000,10.500000,0.000000,top
"Q3","3904","SOT23-BEC",39.100000,10.500000,0.000000,top
"Q4","2N7002","SOT23",32.100000,10.500000,0.000000,top
"Q5","2N7002","SOT23",19.300000,4.600000,-90.000000,top
"Q6","SI1401EDH","SOT363_INFINEON",24.600000,7.500000,180.000000,top
"R1","100k","R0603",28.600000,7.000000,180.000000,top
"R2","10k","R0603",28.600000,9.250000,0.000000,top
"R3","10k","R0603",36.900000,7.000000,0.000000,top
"R4","100k","R0603",36.700000,4.000000,90.000000,top
"R5","10k","R0603",32.500000,7.000000,180.000000,top
"R7","100k","R0603",27.000000,3.800000,-90.000000,top
"R8","523k","R0603",58.700000,3.000000,0.000000,top
"R9","100k","R0603",58.700000,1.000000,0.000000,top
"R10","100k","R0603",51.500000,1.000000,0.000000,top
"R11","100k","R0603",48.000000,1.000000,180.000000,top
"R12","20k","R0603",40.900000,4.000000,90.000000,top
"R13","10k","R0603",40.250000,7.000000,180.000000,top
"R14","10k","R0603",22.100000,7.500000,90.000000,top
"R15","1k","R0603",9.700000,13.000000,90.000000,top
"R16","100k","R0603",24.800000,3.800000,90.000000,top
"SW0","PTR1B1,27","B1,27",11.000000,9.000000,0.000000,top
"U1","TPS3840","SOT-23-5",32.900000,4.000000,0.000000,top
"U2","TPS63070RNMR","VREG_TPS63070RNMR",54.500000,4.000000,90.000000,top
"U3","TPS3702","SOT-23-6",19.200000,11.000000,180.000000,top
"UNK5V0","PTR1B1,27","B1,27",63.000000,2.000000,0.000000,top
"VCC0","PTR1B1,27","B1,27",15.000000,3.000000,0.000000,top
