Comment,Designator,Footprint,LCSC
"RP2040","U1","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","C2914104"
"W25Q16JVSSIQ","U2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C49987"
"XC6206P332MR","U3","Package_TO_SOT_SMD:SOT-23","C5446"
"12MHz","X1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C112250"
"FH34SRJ-10S-0.5SH","J1","BytendoMods:FFC-SMD_10P-P0.50_FH34SRJ-10S-0.5SH","C324723"
"686118183522","J2","BytendoMods:CON_5051101892_MOL","C262334"
"USB-C-16P","J3","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"100nF","C1,C2,C3,C4,C5,C6,C7,C8,C9","Capacitor_SMD:C_0402_1005Metric","C1525"
"1µF","C10,C11","Capacitor_SMD:C_0402_1005Metric","C52923"
"10µF","C12,C13","Capacitor_SMD:C_0603_1608Metric","C19702"
"15pF","C14,C15","Capacitor_SMD:C_0402_1005Metric","C1554"
"27Ω","R1,R2","Resistor_SMD:R_0402_1005Metric","C25111"
"5.1kΩ","R3,R4","Resistor_SMD:R_0402_1005Metric","C25905"
"1kΩ","R5","Resistor_SMD:R_0402_1005Metric","C11702"
"10kΩ","R6,R7","Resistor_SMD:R_0402_1005Metric","C25744"
"SW_PUSH","SW1","Button_Switch_SMD:SW_SPST_PTS645","C318884"
